3C资讯,家电,,I001001
3C资讯,手机,,I001002
3C资讯,数码,,I001003
办公文教,,,I002
财经,保险,,I003001
财经,股票,,I003002
财经,黄金,,I003003
财经,基金,,I003004
财经,理财,,I003005
财经,期货,,I003006
财经,证券,,I003007
餐饮食品,,,I004
宠物资讯,,,I005
房产,别墅,,I006001
房产,商业房,,I006002
房产,住宅,,I006003
工具,安全杀毒,,I007001
工具,电子邮件,,I007002
工具,翻译,,I007003
工具,美图,,I007004
工具,输入法,,I007005
工具,网络存储,,I007006
工具,无线管理,,I007007
工具,系统,,I007008
工具,下载,,I007009
家居生活,家居,,I008001
家居生活,家居服务,,I008002
家居生活,装修,,I008003
旅游,攻略,其他,I009001001
旅游,攻略,酒店,I009001002
旅游,攻略,美食,I009001003
旅游,攻略,租车,I009001004
旅游,旅行社,,I009002
旅游,目的地,,I009003
汽车资讯,产地,国产汽车,I010001001
汽车资讯,产地,美系车,I010001002
汽车资讯,产地,欧洲车,I010001003
汽车资讯,产地,日系车,I010001004
汽车资讯,类型,货车,I010002001
汽车资讯,类型,轿车,I010002002
汽车资讯,类型,客车,I010002003
汽车资讯,类型,越野车,I010002004
汽车资讯,新旧,二手车,I010003001
汽车资讯,新旧,新车,I010003002
求职招聘,,,I011
社交,婚恋,,I012001
社交,社交,,I012002
生活信息,查询服务,,I013001
生活信息,打车出行,,I013002
生活信息,地图导航,,I013003
生活信息,快递,,I013004
生活信息,生活服务,,I013005
生活信息,天气,,I013006
生活信息,外卖送餐,,I013007
时尚,美容美体,,I014001
时尚,美妆,,I014002
手机配件,,,I015
体育,大类,,I016001
体育,户外,,I016002
体育,偏高端,,I016003
体育,赛事,,I016004
图书，文学,其它,,I017001
图书，文学,类型,畅销,I017002001
图书，文学,类型,漫画,I017002002
图书，文学,类型,听书,I017002003
图书，文学,类型,笑话,I017002004
图书，文学,类型,杂志,I017002005
图书，文学,题材,穿越小说,I017003001
图书，文学,题材,都市小说,I017003002
图书，文学,题材,官场职场,I017003003
图书，文学,题材,黑道小说,I017003004
图书，文学,题材,历史军事,I017003005
图书，文学,题材,灵异悬疑,I017003006
图书，文学,题材,人文社科,I017003007
图书，文学,题材,同人小说,I017003008
图书，文学,题材,武侠仙侠,I017003009
图书，文学,题材,校园小说,I017003010
图书，文学,题材,玄幻小说,I017003011
图书，文学,题材,言情小说,I017003012
图书，文学,题材,游戏竞技,I017003013
图书，文学,题材,中外文学,I017003014
图书，文学,听书,,I017004
图书，文学,阅读器,,I017005
玩具礼品,,,I018
新闻资讯,其它,,I019001
新闻资讯,法律资讯,,I019002
新闻资讯,军事资讯,,I019003
新闻资讯,科技资讯,,I019004
新闻资讯,女性时尚,,I019005
新闻资讯,财经资讯,,I019006
新闻资讯,企业门户,安全防护,I019007001
新闻资讯,企业门户,电子电工,I019007002
新闻资讯,企业门户,服装纺织,I019007003
新闻资讯,企业门户,工业,I019007004
新闻资讯,企业门户,国家单位,I019007005
新闻资讯,企业门户,建筑建材,I019007006
新闻资讯,企业门户,交通运输,I019007007
新闻资讯,企业门户,金融业,I019007008
新闻资讯,企业门户,农林牧渔,I019007009
新闻资讯,企业门户,物资,I019007010
新闻资讯,企业门户,信息科技,I019007011
新闻资讯,企业门户,医药卫生,I019007012
新闻资讯,时政要闻,其它,I019008001
新闻资讯,时政要闻,国内,I019008002
新闻资讯,时政要闻,国际,I019008003
学习教育,其它,,I020001
学习教育,留学,,I020002
学习教育,公务员,,I020003
学习教育,外语,,I020004
学习教育,学历教育,本科,I020005001
学习教育,学历教育,硕士,I020005002
学习教育,学前教育,,I020006
学习教育,职业教育,,I020007
学习教育,,,I020
医疗保健,保健,,I021001
医疗保健,疾病,,I021002
医疗保健,心理,,I021003
游戏,其它,,I022001
游戏,动作,,I022002
游戏,角色扮演,,I022003
游戏,模拟经营,,I022004
游戏,成人,,I022005
游戏,棋牌,,I022006
游戏,体育,,I022007
游戏,益智,,I022008
娱乐,其它,,I023001
娱乐,搞笑,,I023002
娱乐,明星,,I023003
娱乐,动漫,,I023004
娱乐,摄影图片,,I023005
娱乐,视频,其他,I023006001
娱乐,视频,搞笑,I023006002
娱乐,视频,电视剧,I023006003
娱乐,视频,网络电台,I023006004
娱乐,视频,影视,I023006005
娱乐,视频,原创,I023006006
娱乐,视频,综艺,I023006007
娱乐,音乐,其他,I023007001
娱乐,音乐,儿歌,I023007002
娱乐,音乐,铃声,I023007003
娱乐,音乐,大众,I023007004
娱乐,音乐,英语,I023007005
娱乐,娱乐八卦,,I023008
孕产育儿,,,I024
占卜测试,,,I025
IT,,,I026